Platform,Problem ID,Problem Name,Rating,Status,Problem Link,Contest Name,Contest Date,Contest Link,Tags,Last Edit
Codeforces,1684C,Column Swapping,1400,,https://codeforces.com/contest/1684/problem/C,Codeforces Round #792 (Div. 1 + Div. 2),2022-05-19,https://codeforces.com/contest/1684,"brute force, constructive algorithms, greedy, implementation, sortings",
Codeforces,1684B,Z mod X = C,800,,https://codeforces.com/contest/1684/problem/B,Codeforces Round #792 (Div. 1 + Div. 2),2022-05-19,https://codeforces.com/contest/1684,"constructive algorithms, math",
Codeforces,1684A,Digit Minimization,800,,https://codeforces.com/contest/1684/problem/A,Codeforces Round #792 (Div. 1 + Div. 2),2022-05-19,https://codeforces.com/contest/1684,"constructive algorithms, games, math, strings",
Codeforces,1680F,Lenient Vertex Cover,2600,,https://codeforces.com/contest/1680/problem/F,Educational Codeforces Round 128 (Rated for Div. 2),2022-05-13,https://codeforces.com/contest/1680,"dfs and similar, divide and conquer, dsu, graphs, trees",
Codeforces,1680E,Moving Chips,2000,,https://codeforces.com/contest/1680/problem/E,Educational Codeforces Round 128 (Rated for Div. 2),2022-05-13,https://codeforces.com/contest/1680,"bitmasks, dp, greedy",
Codeforces,1680D,Dog Walking,2400,,https://codeforces.com/contest/1680/problem/D,Educational Codeforces Round 128 (Rated for Div. 2),2022-05-13,https://codeforces.com/contest/1680,"brute force, greedy, math",
Codeforces,1680C,Binary String,1600,,https://codeforces.com/contest/1680/problem/C,Educational Codeforces Round 128 (Rated for Div. 2),2022-05-13,https://codeforces.com/contest/1680,"binary search, greedy, strings, two pointers",
Codeforces,1680B,Robots,800,,https://codeforces.com/contest/1680/problem/B,Educational Codeforces Round 128 (Rated for Div. 2),2022-05-13,https://codeforces.com/contest/1680,implementation,
Codeforces,1680A,Minimums and Maximums,800,,https://codeforces.com/contest/1680/problem/A,Educational Codeforces Round 128 (Rated for Div. 2),2022-05-13,https://codeforces.com/contest/1680,"brute force, math",
Codeforces,1679F,Formalism for Formalism,2600,,https://codeforces.com/contest/1679/problem/F,Codeforces Round #791 (Div. 2),2022-05-14,https://codeforces.com/contest/1679,"bitmasks, dp, math",
Codeforces,1679E,Typical Party in Dorm,2400,,https://codeforces.com/contest/1679/problem/E,Codeforces Round #791 (Div. 2),2022-05-14,https://codeforces.com/contest/1679,"bitmasks, combinatorics, dp, strings",
Codeforces,1679D,Toss a Coin to Your Graph...,1900,,https://codeforces.com/contest/1679/problem/D,Codeforces Round #791 (Div. 2),2022-05-14,https://codeforces.com/contest/1679,"binary search, dfs and similar, dp, graphs",
Codeforces,1679C,Rooks Defenders,1400,,https://codeforces.com/contest/1679/problem/C,Codeforces Round #791 (Div. 2),2022-05-14,https://codeforces.com/contest/1679,"data structures, implementation",
Codeforces,1679B,Stone Age Problem,1200,,https://codeforces.com/contest/1679/problem/B,Codeforces Round #791 (Div. 2),2022-05-14,https://codeforces.com/contest/1679,"data structures, implementation",
